date,price
2018-02-11,1.8818505138760537
2018-02-12,2.077674162442708
2018-02-13,1.9929382881999869
2018-02-14,2.2053240546267516
2018-02-15,2.3336997208920254
2018-02-16,2.3710129099106667
2018-02-17,2.5762762888907558
2018-02-18,2.4231589608595407
2018-02-19,2.6027518739440105
2018-02-20,2.613951198110654
2018-02-21,2.4358004984737742
2018-02-22,2.2895815247323275
2018-02-23,2.3642592437014014
2018-02-24,2.2623871666339954
2018-02-25,2.237997890354439
2018-02-26,2.409289908239753
2018-02-27,2.4664743715403215
2018-02-28,2.409934003565861
2018-03-01,2.5483771598196534
2018-03-02,2.5761479365612776
2018-03-03,2.675441298645533
2018-03-04,2.6872310435277753
2018-03-05,2.6729956033492956
2018-03-06,2.500882130555322
2018-03-07,2.3126756093235135
